husband,wife,count
never or occasionally,never or occasionally,7
never or occasionally,fairly often,7
never or occasionally,very often,2
never or occasionally,almost always,3
fairly often,never or occasionally,2
fairly often,fairly often,8
fairly often,very often,3
fairly often,almost always,7
very often,never or occasionally,1
very often,fairly often,5
very often,very often,4
very often,almost always,9
almost always,never or occasionally,2
almost always,fairly often,8
almost always,very often,9
almost always,almost always,14
